SUBTRANSECTO,CONTEO,N_INVESTIGATOR,ALTITUD,DEG,CHIL,RH_C,HI,DP,BULB,BARO,ALT,SPD,TC,TS,LHC,LONG_COLA,LONG_TOTAL,PESO,TEMP_ASF,TEMP_SUELO,CARROS_TUX,CARROS_OAX,TOTAL_CARROS,AÑO,SEMANA,DIA,DIAYEAR,TRANSECTO,RECORRIDO,VIVO,MUERTO,CAÑADA,ESCURRIMIENTOS,MES,TURNO,DIAWEEK,CLASE,GENERO,ESPECIE,DIRECCION,UBICACION_T,CONDICION,TEMPORADA,ALTITUD_MEAN,DIST_ELECTRICOS_MEAN,DIST_PENDIENTE_MEAN,DIST_RIOS_MEAN,DIST_AGRICOLA_MEAN,DIST_URBANIZACION_MEAN,NDWI_AGUA_MEAN,NDMI_HUMEDAD_MEAN,NDVI_VEGETACION_MEAN,LST_TEMPERATURA_MEAN
11,10,2,1757.9108519,15.82,15.62,94.16,16.12,14.83,15.13,24.646,1447.32,0.3,16.25,15.466666666666667,14.17,3.995,22.035,7.433333333333334,15.8,15.3,24.1,31.1,55.2,2021,51,18,353,3,16,0,1,1,0,octubre,noche,viernes,Amphibia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1753.6666666666667,582.3935139975556,36.641665140772226,810.221262614,541.9041002062778,2462.3662787544445,-0.3039292422314815,0.19595958753703704,0.30149781085185184,12.879492183175927
12,11,2,1769.7226562727274,17.41,17.22,90.32,17.29,15.83,16.036363636363635,24.557,1637.7,0.61,13.5,16.71,17.233333333333334,5.5520000000000005,24.366,9.12,16.98,16.5,14.636363636363637,18.727272727272727,34.27272727272727,2021,44,29,302,3,72,0,1,1,0,octubre,noche,miércoles,Reptilia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1756,621.5566440158889,31.61064561208889,909.3381347656111,694.0618489583334,2633.3364800344443,-0.35354259092592594,0.2231468250185185,0.364735153,13.714002154944444
13,4,2,1902.04833975,16.1,16,91.55,16.425,14.925,15.65,24.07,1797.75,0.75,17.232738095238094,17.566666666666666,21.02,8.219999999999999,35.955,9,16.525,16,13.25,14.5,33.666666666666664,2021,11,12,71,4,25,0,1,0,0,agosto,noche,lunes,Reptilia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1974.2777777777778,1308.3446519644444,35.77856508891111,754.4997524683889,2036.4007839627777,3951.5420328777777,-0.3142806235833333,0.20833667347222223,0.3179260901851852,12.682814022731481
14,5,2,1835.010156,15.42,15.16,90.42,15.4,13.28,14.120000000000001,24.086,1793.2,0.38,18.3,16.8,7.673333333333333,2.27,12.47,17.15,17.95,15.233333333333334,19.8,16.6,36.6,2021,10,8,67,4,21,1,0,1,1,marzo,noche,domingo,Reptilia,Geophis,Geophis duellmani,Orilla de carretera,Abajo,VIVO,LLUVIAS,1991.611111111111,1474.4040662972222,42.31295034621111,723.8409796821111,2259.591484918889,4206.327365451111,-0.32221463518518517,0.20370169191666668,0.32265672041666665,12.683697579222223
15,6,2,1960.7946168333333,14.75,14.483333333333334,94.85,14.8,13.833333333333334,14.116666666666667,24,1823.3333333333333,0.2833333333333333,14.6,14.16,18.488,9.65,50.1,9,13.95,13.8,20.333333333333332,22.666666666666668,44.5,2020,51,18,353,4,9,0,1,0,0,diciembre,noche,viernes,Amphibia,Exerodonta,Exerodonta abdivita,De arriba hacia abajo,Abajo,MUERTO,SEQUIA,1978.0555555555557,1621.3587510855555,31.39619784886111,593.0244445800556,2498.929673937778,4447.867133247222,-0.33013344751851853,0.19090659222222223,0.32981570882407407,12.947913463083333
16,4,2,1995.7844545,16,16.025,86.4,16.5,13.85,14.65,23.9725,1831.25,0.275,17.232738095238094,14.625,29.42,6.595000000000001,36.065,16,14.625,13.9,19.5,25.5,45,2021,11,12,71,4,25,0,1,0,0,marzo,mañana,jueves,Reptilia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,SEQUIA,2003.6666666666667,1645.0147976355556,25.987304157683333,414.5299818252222,2618.4165039061113,4607.051323786111,-0.30849284762962964,0.17827552655555556,0.3057150087037037,12.95336369523148
17,6,2,1992.6848956666668,15.65,15.616666666666667,89.16666666666666,15.833333333333334,14.266666666666667,14.716666666666667,23.82,1883.5,0.11666666666666667,17.232738095238094,15.366666666666667,16.294999999999998,6.16,34.49,15,15.366666666666667,14.633333333333333,14.166666666666666,17.333333333333332,31.5,2021,11,15,74,5,27,0,1,0,0,marzo,mañana,lunes,Amphibia,Geophis,Geophis duellmani,De arriba hacia abajo,Abajo,MUERTO,SEQUIA,1981.5,1508.3485582144444,24.189752896616667,275.218343099,2780.0739067922223,4936.743598092222,-0.3437670298425926,0.2286817967962963,0.3522566843240741,13.373319114759258
18,3,2,2009.7193603333333,12.633333333333333,12.7,93.56666666666666,12.633333333333333,11.366666666666667,11.766666666666667,23.813333333333333,1885.6666666666667,0.09999999999999999,13.066666666666666,12.8,16.12,6.2,35.48,9.200000000000001,13.1,12.700000000000001,12,19,31,2021,10,10,69,5,19,1,0,0,0,marzo,noche,sábado,Reptilia,Geophis,Geophis duellmani,Orilla de carretera,Abajo,VIVO,SEQUIA,1991.0555555555557,1258.3238932294444,24.27895980411111,378.4713626436667,2638.5389539933335,4828.026285808333,-0.2692756996018518,0.2019337433888889,0.2628343798518519,12.774647873527778
19,3,2,1963.9228923333333,15.533333333333333,15.166666666666666,93.76666666666667,15.8,14.200000000000001,14.433333333333334,23.803333333333335,1887.6666666666667,0.43333333333333335,17.232738095238094,15.7,3.73,5.6117513227513225,26.384429052429052,8.922604166666666,15.966666666666667,15.433333333333334,10.666666666666666,19.333333333333332,26.666666666666668,2021,21,16,145,5,43,0,1,0,0,mayo,mañana,lunes,Amphibia,Geophis,Geophis duellmani,De abajo hacia arriba,Arriba,MUERTO,TRANSICION DE SECAS A LLUVIA,1998.3333333333333,1007.9612189397778,28.781903054966666,593.5021565755,2530.4402126738887,4773.873291017222,-0.2487304060462963,0.17850253628703702,0.2353043255462963,12.44518291587037
20,4,2,1990.991638,16.775000000000002,16.8,86.725,16.425,14.4,15.05,23.7675,1902.25,0.375,17.232738095238094,15.9,3.783333333333333,5.6117513227513225,26.384429052429052,8.922604166666666,15.025,14.9,8,11.75,19.75,2021,33,16,228,5,50,0,1,0,0,agosto,noche,lunes,Amphibia,Craugastor,Craugastor sp.,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,2028.2222222222222,1005.8315565329444,34.93871222601667,663.4678209092777,2723.9290364594444,4986.342339410556,-0.24925922241666668,0.15891189366666666,0.24069897442592592,12.160866456962962
0,9,2,1818.0033976666666,16.433333333333334,16.466666666666665,39.365,17.383333333333333,14.566666666666666,15.77142857142857,24.143333333333334,1776,0.2857142857142857,14.275,15.525,16.0225,6.175,33.05,13.025,15.700000000000001,14.533333333333333,6.5,13,37.75,2021,33,24,298,0,3,1,0,0,0,agosto,noche,sábado,Reptilia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,VIVO,LLUVIAS,1810.9833333333333,669.7250087421842,31.05403964784389,719.401203749,1109.9207582263693,2483.382868067889,-0.3191786568555556,0.20790482022592593,0.3220246497625,13.760098078635648
